video_title,channel,comment_text,author,language,sentiment_scores,region,sentiment,sentiment_label,sentiment_positive,sentiment_negative,sentiment_neutral
The Big Fight over language,NDTV,हमको महाराष्ट्रमें हिंदी नहीं मंगता तो नहीच मंगता। Here in our Maharashtra we will never accept Hindi. Here only Marathi is acceptable. Jai Maayboli Marathi Bhasha Jai Mahan Rashtra Maharashtra Jai Shivaji Maharaj 🙏🏻,@user-uz5cq4xo5h,English,"{'compound': 0.0299, 'positive': 0.052, 'negative': 0.049, 'neutral': 0.899, 'sentiment': 'neutral'}",All India,0.0299,neutral,0.052,0.049,0.899
The Big Fight over language,NDTV,"*21  February  1952  Language  Day* ---- Pakistan  dismembered  due  to  Bengali-Urdu  language  dispute.  Fina||y,  0rdu-wa|as  &  0rdu  Cicked-0ut  from  Bang|adesh  in  1971.",,Indonesian,"{'compound': -0.125, 'positive': 0, 'negative': 0.125, 'neutral': 0.875, 'subjectivity': 0.375, 'sentiment': 'negative'}",Unknown Region,-0.125,negative,0,0.125,0.875
The Big Fight over language,NDTV,Debate clearly shows who is really  language chaunavist.,@varunbabu3178,English,"{'compound': 0.4019, 'positive': 0.278, 'negative': 0.0, 'neutral': 0.722, 'sentiment': 'positive'}",All India,0.4019,positive,0.278,0,0.722
The Big Fight over language,NDTV,"Uncontrolled insanely growing arrogant population is just coming in one way, no two way benefits. South India + Maharashtra = Separate country, Already Hindi have become way to loose your own century old language, culture, jobs, small to big busineses, railway jobs, administrative jobs, place in politics... overall everything.",@jaywant7777,English,"{'compound': -0.6597, 'positive': 0.078, 'negative': 0.176, 'neutral': 0.745, 'sentiment': 'negative'}",All India,-0.6597,negative,0.078,0.176,0.745
The Big Fight over language,NDTV,This video never gets old...,@raipramodkumar7989,Da,"{'compound': 0.1, 'positive': 0.1, 'negative': 0, 'neutral': 0.9, 'subjectivity': 0.2, 'sentiment': 'positive'}",Unknown Region,0.1,positive,0.1,0,0.9
The Big Fight over language,NDTV,Let say tamil guy rocked after all they need validation or ceriticate of rocking 😂. In reality the host is the actual matured person.,@SaritaGiri-rk7fm,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,13:20 to 13:36,@rameshbackia3934,It,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,12:03 என்ன இந்த பெட்டை நாய் சொல்லுது,@rameshbackia3934,Tamil,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Tamil Nadu,0,neutral,0,0,1
The Big Fight over language,NDTV,"11:45 எனக்கு ஆங்கிலம்  தெரியாது ஆனால் நான் ஹிந்தியில் மட்டுமே பேசுவேன் என்னால் அவமரியாதையை ஏற்றுக் கொள்ள முடியாது 

அடி பொட்ட நாயே.  உன்னைப் போன்ற மாதுக்களால் தான் இந்தியா ஒரு நாடாக முழுமையாக வெற்றி பெற வில்லை",@rameshbackia3934,Tamil,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Tamil Nadu,0,neutral,0,0,1
The Big Fight over language,NDTV,"Please note 8:05  narathar starting soon 8:18



This is real problem...",@rameshbackia3934,English,"{'compound': -0.1027, 'positive': 0.144, 'negative': 0.169, 'neutral': 0.688, 'sentiment': 'negative'}",All India,-0.1027,negative,0.144,0.169,0.688
The Big Fight over language,NDTV,What a dummy lady she is😂,@deepubgowda9520,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,full agree to chitra ji,@devenwarang3687,English,"{'compound': 0.3612, 'positive': 0.385, 'negative': 0.0, 'neutral': 0.615, 'sentiment': 'positive'}",All India,0.3612,positive,0.385,0,0.615
The Big Fight over language,NDTV,Fully agree to what chitra ji is saying* Atleast learn English before speaking in it,@ShaunakJoshi-w8y,English,"{'compound': 0.4201, 'positive': 0.166, 'negative': 0.0, 'neutral': 0.834, 'sentiment': 'positive'}",All India,0.4201,positive,0.166,0,0.834
The Big Fight over language,NDTV,That lady with the specs is just arrogant and entitled,@kaydenanthony7342,English,"{'compound': -0.2732, 'positive': 0.158, 'negative': 0.241, 'neutral': 0.602, 'sentiment': 'negative'}",All India,-0.2732,negative,0.158,0.241,0.602
The Big Fight over language,NDTV,But we also say वसुदैव कुटुंबकम् so English is our languages as well.,@anandnagpur111,English,"{'compound': 0.3919, 'positive': 0.142, 'negative': 0.0, 'neutral': 0.858, 'sentiment': 'positive'}",All India,0.3919,positive,0.142,0,0.858
The Big Fight over language,NDTV,Mahatma Gandhi can go F,@saichaitanya4735,Somali,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,English should be on top priority,@pubsukhatikhata,English,"{'compound': 0.2023, 'positive': 0.265, 'negative': 0.0, 'neutral': 0.735, 'sentiment': 'positive'}",All India,0.2023,positive,0.265,0,0.735
The Big Fight over language,NDTV,That Hindi lady should have been allowed to leave. She is so very obdurate. A perfect example of Hindi fanaticism.,@ambydash,English,"{'compound': 0.5809, 'positive': 0.171, 'negative': 0.052, 'neutral': 0.777, 'sentiment': 'positive'}",All India,0.5809,positive,0.171,0.052,0.777
The Big Fight over language,NDTV,That Tamil sir🔥love from kerala,@shreya-d2z6g,English,"{'compound': 0.4215, 'positive': 0.362, 'negative': 0.207, 'neutral': 0.431, 'sentiment': 'positive'}",All India,0.4215,positive,0.362,0.207,0.431
The Big Fight over language,NDTV,"Hindi is not an Indian language, it is the language of Mughals and looters which has been adopted by the people of Gulma Manasikta",@vijayredekar904,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,"हिंदी भारतीय भाषा नहीं है, यह मुगलों लूटरो की भाषा है जो गुलमा मानासिक के लोगो ने अपना ई है.

जय श्री महाराष्ट्र देशा",@vijayredekar904,Hindi,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Uttar Pradesh,0,neutral,0,0,1
The Big Fight over language,NDTV,"glad a telugu person also joined with the tamil uncle!
love from andhra to all south indians.
stop this hindi invasion",@cvry2813,English,"{'compound': 0.7424, 'positive': 0.271, 'negative': 0.079, 'neutral': 0.65, 'sentiment': 'positive'}",All India,0.7424,positive,0.271,0.079,0.65
The Big Fight over language,NDTV,He's from tg,@shruthiksaimyadarapu8407,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,The programme became a mockery.,@jotsonbey611,English,"{'compound': -0.3182, 'positive': 0.0, 'negative': 0.365, 'neutral': 0.635, 'sentiment': 'negative'}",All India,-0.3182,negative,0,0.365,0.635
The Big Fight over language,NDTV,"I'm Tamil but i can hardly understand 10% of Telugu, Kannada or Malaylam...Tamil Uncle is trying to justify that its all  south languages are similar.... I think north indian languages are way more similar to Hindi than South langauges are between themselves....",@krishkasturirangan1078,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,"Yes , since they are not as evolved as south languages.",@tsMuthuraman-hm6wg,English,"{'compound': 0.4019, 'positive': 0.213, 'negative': 0.0, 'neutral': 0.787, 'sentiment': 'positive'}",All India,0.4019,positive,0.213,0,0.787
The Big Fight over language,NDTV,@tsMuthuraman-hm6wg Why do you always want to create a sense of superiority and create a divide...... Then people in the North will pin point their perceived notions of superiority.... Be non judgemental...,@krishkasturirangan1078,English,"{'compound': 0.8074, 'positive': 0.269, 'negative': 0.0, 'neutral': 0.731, 'sentiment': 'positive'}",All India,0.8074,positive,0.269,0,0.731
The Big Fight over language,NDTV,Then you are not tamilians..fake tamilian 😂😂 ! We tamils understand all south languages atleast 50/50 ​@krishkasturirangan1078,@janaalone_,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Why is there even a need for this debate.,@OverThinker-g6f,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,"Being a Kannadiga I heartily Support Guy from Tamil Nadu. Hats off Sir 👏

This is the same attitude seen in many Hindi speakers in the South – even after living here for years, they make no effort to learn or speak the local language. Like the woman who supported Hindi in that debate – it’s truly disappointing that even in 2025, Bengaluru still faces this issue. Every Indian language deserves respect.",@manojnagol1756,English,"{'compound': 0.7964, 'positive': 0.163, 'negative': 0.065, 'neutral': 0.772, 'sentiment': 'positive'}",All India,0.7964,positive,0.163,0.065,0.772
The Big Fight over language,NDTV,anyone in 2025?,@shanthakrishnansp7553,Tagalog,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,"one thing is language. however there's another side, which is culture. speaking language alone does not make you a protector of your culture, and some who are weak in their language can still do more for the culture than those who are fluent. that being said, english as a lingua franca makes logical sense, as it is the language of money and trade.",@braunarsch,English,"{'compound': -0.5994, 'positive': 0.0, 'negative': 0.073, 'neutral': 0.927, 'sentiment': 'negative'}",All India,-0.5994,negative,0,0.073,0.927
The Big Fight over language,NDTV,"These social media bring foolish people for discussion, they don't know they fulfill pakistani agenda",@shashikantkumar7893,English,"{'compound': -0.5432, 'positive': 0.0, 'negative': 0.243, 'neutral': 0.757, 'sentiment': 'negative'}",All India,-0.5432,negative,0,0.243,0.757
The Big Fight over language,NDTV,"Some cheap leaders for their popularity do anti national work, some people funded from China  pakistani, Pakistani success in india by language war simply",@shashikantkumar7893,English,"{'compound': 0.1531, 'positive': 0.206, 'negative': 0.188, 'neutral': 0.606, 'sentiment': 'positive'}",All India,0.1531,positive,0.206,0.188,0.606
The Big Fight over language,NDTV,எங்கள் தமிழுக்கு இணையாக வேறு மொழியை எங்களால் வைத்து பார்க்க முடியாது.,@தமிழ்யாழன்,Tamil,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Tamil Nadu,0,neutral,0,0,1
The Big Fight over language,NDTV,"I see Tamil is mentioned in almost all of the comments here, India is still a democratic country and it has 22 national languages and two parliament languages 1.English is for English speaking 🗣️ indians and hindi is for non English speaking 🗣️ indians.

He made it clear when one want to talk with South Indian or any other non Hindi speaking Indians just speak in English the link language. 😢😮😅

If you know english but you still speak 🙊🗣️ only in Hindi with non Hindi speaker what madam totally wrong Madam 🔇😮😮😮😮😂😂😂",@dave_roul,English,"{'compound': -0.7535, 'positive': 0.026, 'negative': 0.066, 'neutral': 0.907, 'sentiment': 'negative'}",All India,-0.7535,negative,0.026,0.066,0.907
The Big Fight over language,NDTV,07:24,@m_santosh_MS,Unknown,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,33:19  up guy straight out said gov poor students cant compete in English medium so English medium school by gov he under estimate the poor people of uttar pradesh,@celindsouza1950,English,"{'compound': -0.6486, 'positive': 0.054, 'negative': 0.177, 'neutral': 0.769, 'sentiment': 'negative'}",All India,-0.6486,negative,0.054,0.177,0.769
The Big Fight over language,NDTV,bindi women kids are in English or hindi making drama,@celindsouza1950,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Is there any literature in hindi.more over there's no hindi speaking state like other languages.,@subramanianmk2631,English,"{'compound': 0.0772, 'positive': 0.134, 'negative': 0.118, 'neutral': 0.749, 'sentiment': 'positive'}",All India,0.0772,positive,0.134,0.118,0.749
The Big Fight over language,NDTV,8:17 😂😂,@RadhaS-r6c,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,It's very sad Some people who speak in hindi they don't know that it is urdu half of it,@foxkannan4268,English,"{'compound': -0.5256, 'positive': 0.0, 'negative': 0.145, 'neutral': 0.855, 'sentiment': 'negative'}",All India,-0.5256,negative,0,0.145,0.855
The Big Fight over language,NDTV,"No offence but to be clear, Hindi won't be useful to u....if u don't have career choices to go out of ur state or do a central govt job.",@harikayathipathi24,English,"{'compound': 0.1864, 'positive': 0.131, 'negative': 0.084, 'neutral': 0.785, 'sentiment': 'positive'}",All India,0.1864,positive,0.131,0.084,0.785
The Big Fight over language,NDTV,30:00 The telugu guy was spot on when he spoke very maturely about the elite sending their children to English medium and they want the government schools in hindi and not English.,@sairakeshreddy3767,English,"{'compound': 0.0772, 'positive': 0.039, 'negative': 0.0, 'neutral': 0.961, 'sentiment': 'positive'}",All India,0.0772,positive,0.039,0,0.961
The Big Fight over language,NDTV,Tamil tamilians Tamilnadu are not responsible for saving hindi language. We don't want extra mother. We have our original indeogious mother with us.,@mmpillai2782,English,"{'compound': 0.0299, 'positive': 0.087, 'negative': 0.12, 'neutral': 0.793, 'sentiment': 'neutral'}",All India,0.0299,neutral,0.087,0.12,0.793
The Big Fight over language,NDTV,"We suggest that Tamil should become National Language. It is the oldest language, may be perhaps 12000 years old as Sangam Tamil is well known. The Cradle of Hindu Civilisation resides around Kaveri River and Vaigai. Lord Ram's family Deity is Lord Ranganatha of Srirangam, and it is Kaveri river which is praised even more than Ganges, which came into existence later. Sage Agastya the doyen of Tamil predates even Lord Rama.",@raghunandanraghavachari3188,English,"{'compound': 0.6486, 'positive': 0.069, 'negative': 0.0, 'neutral': 0.931, 'sentiment': 'positive'}",All India,0.6486,positive,0.069,0,0.931
The Big Fight over language,NDTV,if you are  a Tamil speaking guy one may also go to kerala for employment that guy will make his way in malayalam.  Or to any other state this learning will be done a accordingly 😂,@francisraphael6828,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,"Let  me express let's learn their own languages.  But certainly English becomes Mandatory as far India is concerned. 
If the prime minister wanted his own I am sure he will certainly send him to learn English. No politics here. Then We honestly know that only will give a real bright future.",@francisraphael6828,English,"{'compound': 0.9398, 'positive': 0.278, 'negative': 0.042, 'neutral': 0.679, 'sentiment': 'positive'}",All India,0.9398,positive,0.278,0.042,0.679
The Big Fight over language,NDTV,"মমতা কেন হিন্দির বিরোধীতা করছেন না? তিনি কি ভাবছেন হিন্দি কে সাপোর্ট করলে উনাকে প্রধানমন্ত্রী বানাবে। সেই গুড়ে বালি।হিন্দিওয়ালারা যোগীজী কে প্রধানমন্ত্রী হিসাবে ঠিক করে রেখেছে।
We should join Tamilnadu in opposing imposition of Hindi as National language.",@asitranjankar8370,Bengali,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",West Bengal,0,neutral,0,0,1
The Big Fight over language,NDTV,"India as a nation is a unique nation.....
We have different languages , caste, food and dressing in most ways , but brings us together is the name , INDIA.....
To make any language national, can be done through consensus.... by bringing all stakeholders together.....
No one can impose language on any state ... 
My question to my hindi brother is that if you are pushing for hindi....and why not you learn some south indian languages  ..

Dear honourable PM jhi.. can we see some serious ensure some consecrate steps in Manipur....",@christmercyimalive7818,English,"{'compound': 0.7096, 'positive': 0.105, 'negative': 0.068, 'neutral': 0.827, 'sentiment': 'positive'}",All India,0.7096,positive,0.105,0.068,0.827
The Big Fight over language,NDTV,Wow what a debate 👏👏👏 I enjoyed thoroughly ❤,@ShreedharShree-cx9wt,English,"{'compound': 0.7964, 'positive': 0.441, 'negative': 0.0, 'neutral': 0.559, 'sentiment': 'positive'}",All India,0.7964,positive,0.441,0,0.559
The Big Fight over language,NDTV,INDIA BIGGEST SCINTIST  DR  ENGR  CEO  SIVATHANU PILLAI NEUCLEARSCINTIST ABDULKALAM NUCEASCIENTIST   DR SIVAN ISRO DIRECTOR  DR MUTHUVEL   CURRENT ISRO SCIENTIST NARAYANAN  WORLD BIGGEST NEUROLOGY DR  RAMAMURTHY,@skventhan7215,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,HINDIPEOPLE HOW MANY NO OF SCIENTIST DR ENGR CEO SR G.M OOOOOOO  TAMILS IS 2O5 COUNTRY  BIGGEST DR ENGR SCIENTIST  CEO SR G.M. WORKING IN  2O5  COUNTRYS,@skventhan7215,English,"{'compound': -0.296, 'positive': 0.0, 'negative': 0.078, 'neutral': 0.922, 'sentiment': 'negative'}",All India,-0.296,negative,0,0.078,0.922
The Big Fight over language,NDTV,WORST KACHADALANGUAGE IN HINDI,@skventhan7215,Somali,"{'compound': -1.0, 'positive': 0, 'negative': 1.0, 'neutral': 0.0, 'subjectivity': 1.0, 'sentiment': 'negative'}",Unknown Region,-1,negative,0,1,0
The Big Fight over language,NDTV,TAMIL NATIONAL  LANGUAGE IN SI GAPORE MALAYSIA REUNION MAUTIUS SRILANKA OFFICIAL LANGUAGE IN FRANCE SOUTHAFRICA  AUSRALIA  NEWSZEALAND  CANADA,@skventhan7215,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,NONSENSE LANGUAGE HINDI DONKEY LANGUAGE HINDI,@skventhan7215,Vi,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,WORLD KACHADA LANGUAGE INHINDI,@skventhan7215,Somali,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,EX GOVERNOR GENERAL OF INDIA  HON RAJAJ SAID ENGLISH IS EVER  HINDI IS NEVER,@skventhan7215,De,"{'compound': 0.02500000000000001, 'positive': 0.02500000000000001, 'negative': 0, 'neutral': 0.975, 'subjectivity': 0.25, 'sentiment': 'neutral'}",Unknown Region,0.025,neutral,0.025,0,0.975
The Big Fight over language,NDTV,UNESCO AGREE IN ONE LANGUAGE INTAMIL  UNESCO AGREE IN  FIRST LANGUAGE TAMIL ONLY,@skventhan7215,English,"{'compound': 0.6124, 'positive': 0.312, 'negative': 0.0, 'neutral': 0.688, 'sentiment': 'positive'}",All India,0.6124,positive,0.312,0,0.688
The Big Fight over language,NDTV,WORLD WORST LANGUAGE HINDI HINDI IS NOT OUR NATIONAL LANGUAGE,@skventhan7215,English,"{'compound': -0.6249, 'positive': 0.0, 'negative': 0.313, 'neutral': 0.687, 'sentiment': 'negative'}",All India,-0.6249,negative,0,0.313,0.687
The Big Fight over language,NDTV,This is hindhi imposition.  Let them first learn international link language English.  Because she did not know English expects others to know Hindhi or knowingly imposition hindhi.,@Brojohnjoshua,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Unfortunately citizens voice will not be heard The corrupt Karnataka Andhra will yield Kerala provide some resistance,@kashimoorthymoorthy4695,English,"{'compound': -0.34, 'positive': 0.0, 'negative': 0.13, 'neutral': 0.87, 'sentiment': 'negative'}",All India,-0.34,negative,0,0.13,0.87
The Big Fight over language,NDTV,There’s is no need  Hindhi ls one languages it has no impact either unity or economy Culture relegion has unified India not language Every state has strong sentiments for their mother tongue Imposlng 3language as option ln schools may be o k no body prefers l no Hindhi at academic education level and administration and official level it is silly and wasting all our resources,@kashimoorthymoorthy4695,English,"{'compound': -0.128, 'positive': 0.127, 'negative': 0.146, 'neutral': 0.726, 'sentiment': 'negative'}",All India,-0.128,negative,0.127,0.146,0.726
The Big Fight over language,NDTV,There’s is no need  Hindhi ls one languages it has no impact either unity or economy Culture relegion has unified India not language Every state has strong sentiments for their mother tongue Imposlng 3language as option ln schools may be o k no body prefers l no Hindhi at academic education level and administration and official level,@kashimoorthymoorthy4695,English,"{'compound': 0.2732, 'positive': 0.13, 'negative': 0.128, 'neutral': 0.742, 'sentiment': 'positive'}",All India,0.2732,positive,0.13,0.128,0.742
The Big Fight over language,NDTV,"After all these years, these topics never gets old.  We are facing same issues even in 2025🙂",@Dharshinidurai25,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,CHINA CANNOT BE COMPARED IN THIS DEBATE AS THEY DONT HAVE 22 LANGAUAGES LIKE INDIA AND THEY ARE NOT INTEGRATION OF COUNTRIED TO FORM INDIA.,@radnahcalab-m4v,English,"{'compound': 0.4995, 'positive': 0.115, 'negative': 0.0, 'neutral': 0.885, 'sentiment': 'positive'}",All India,0.4995,positive,0.115,0,0.885
The Big Fight over language,NDTV,CHITRA IS REALLY BRAINWASHED BY THE RSS AND BJP FOR THIS DEBATE. SHE IS TRAINED AND SENT BY THEM FOR THE DEBATE.,@radnahcalab-m4v,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,This DUMB IDIOT HINDI LADY doesn't understand that Tamil is the OLDEST LANGUAGE OF THE WHOLE WORLD.,@radnahcalab-m4v,English,"{'compound': -0.8429, 'positive': 0.0, 'negative': 0.335, 'neutral': 0.665, 'sentiment': 'negative'}",All India,-0.8429,negative,0,0.335,0.665
The Big Fight over language,NDTV,"We don't need, Hindi, just because of nothing Indians all need that? No",@krisramacriation1655,English,"{'compound': -0.296, 'positive': 0.0, 'negative': 0.145, 'neutral': 0.855, 'sentiment': 'negative'}",All India,-0.296,negative,0,0.145,0.855
The Big Fight over language,NDTV,Why she is adamant in speaking in Hindi?,@CharlesATH,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Vadakkans just climbing Hindi... Tamil is not an language... Tamil is a knowledge... And we teach all greatest cultures to the entire World... Go and learn something...,@alex88w32,English,"{'compound': 0.6369, 'positive': 0.139, 'negative': 0.0, 'neutral': 0.861, 'sentiment': 'positive'}",All India,0.6369,positive,0.139,0,0.861
The Big Fight over language,NDTV,"I am from Bihar, i support south india.",@takeiteasyily,English,"{'compound': 0.4019, 'positive': 0.278, 'negative': 0.0, 'neutral': 0.722, 'sentiment': 'positive'}",All India,0.4019,positive,0.278,0,0.722
The Big Fight over language,NDTV,"Hindi is not our language. It has come from Europe. It is just 800 years old.tamil, telugu, kannada and malyalam r more than 2000years old",@sharathofficial6188,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
